"codeinsee";"codebcsi";"typedoc";"codeepci";"dateapprobation";"datelancement";"codeetat1";"codedepartement";"coderegion";"anneeenquete";"pluis";"plui";"codecollectivite";"typelastproc";"codeavertissement";"datelastproc";"datedump";"idproc";"idlastproc"
"91411";"3199";"PLU";"COM";"2013-06-23 22:00:00+00:00";"2010-03-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91411";"";"";"";"2021-10-06";"64303";""
"91412";"3199";"PLU";"COM";"2016-07-03 22:00:00+00:00";"2012-10-07 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91412";"";"";"";"2021-10-06";"115106";""
"91414";"3199";"PLU";"COM";"2016-05-10 22:00:00+00:00";"2014-02-09 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91414";"";"";"";"2021-10-06";"134843";""
"91421";"3199";"PLU";"COM";"2016-11-02 23:00:00+00:00";"2014-04-27 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91421";"";"";"";"2021-10-06";"134815";""
"91425";"3199";"PLU";"COM";"2017-01-18 23:00:00+00:00";"2014-04-27 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91425";"";"";"";"2021-10-06";"134816";""
"91432";"3432";"PLU";"EPT";"2019-10-07 22:00:00+00:00";"2015-11-15 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91432";"";"";"";"2021-10-06";"146308";""
"91433";"3131";"PLU";"COM";"2012-09-26 22:00:00+00:00";"2008-09-04 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91433";"";"";"";"2021-10-06";"63617";""
"91434";"3131";"PLU";"COM";"2016-09-14 22:00:00+00:00";"2011-04-04 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91434";"";"";"";"2021-10-06";"90351";""
"91435";"3199";"PLU";"COM";"2017-04-20 22:00:00+00:00";"2015-10-15 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91435";"";"";"";"2021-10-06";"144317";""
"91441";"3199";"PLU";"COM";"2007-11-28 23:00:00+00:00";"2003-11-23 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91441";"";"";"";"2021-10-06";"55648";""
"91457";"3131";"PLU";"COM";"2008-01-23 23:00:00+00:00";"2003-02-02 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91457";"";"";"";"2021-10-06";"55649";""
"91458";"3199";"PLU";"COM";"2017-10-04 22:00:00+00:00";"2009-06-11 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91458";"";"";"";"2021-10-06";"64718";""
"91461";"3199";"PLU";"COM";"2021-05-17 22:00:00+00:00";"2018-01-22 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91461";"";"";"";"2021-10-06";"161229";""
"91463";"3199";"PLU";"COM";"2020-01-16 23:00:00+00:00";"2015-11-23 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91463";"";"";"";"2021-10-06";"144381";""
"91468";"3131";"PLU";"COM";"2007-10-03 22:00:00+00:00";"2000-10-26 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91468";"";"";"";"2021-10-06";"55650";""
"91469";"3199";"PLU";"COM";"2013-09-11 22:00:00+00:00";"2009-01-29 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91469";"";"";"";"2021-10-06";"63339";""
"91471";"3131";"PLU";"COM";"2017-03-27 22:00:00+00:00";"2015-09-22 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91471";"";"";"";"2021-10-06";"144131";""
"91473";"3199";"PLU";"COM";"2019-06-27 22:00:00+00:00";"2015-06-11 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91473";"";"";"";"2021-10-06";"144750";""
"91477";"3199";"PLU";"COM";"2018-06-24 22:00:00+00:00";"2015-04-07 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91477";"";"";"";"2021-10-06";"146036";""
"91479";"3432";"PLU";"EPT";"2013-12-23 23:00:00+00:00";"2011-05-02 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91479";"";"";"";"2021-10-06";"90363";""
"91482";"3199";"PLU";"COM";"2014-01-27 23:00:00+00:00";"2008-06-23 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91482";"";"";"";"2021-10-06";"64720";""
"91494";"3131";"PLU";"COM";"2012-12-16 23:00:00+00:00";"2010-02-14 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91494";"";"";"";"2021-10-06";"63619";""
"91495";"3199";"PLU";"COM";"2019-12-05 23:00:00+00:00";"2015-11-11 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91495";"";"";"";"2021-10-06";"144761";""
"91507";"3199";"PLU";"COM";"2018-12-19 23:00:00+00:00";"2015-04-21 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91507";"";"";"";"2021-10-06";"144773";""
"91508";"3199";"PLU";"COM";"2017-06-29 22:00:00+00:00";"2012-03-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91508";"";"";"";"2021-10-06";"115112";""
"91511";"3199";"PLU";"COM";"2020-02-05 23:00:00+00:00";"2018-06-21 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91511";"";"";"";"2021-10-06";"163727";""
"91514";"3199";"PLU";"COM";"2010-07-05 22:00:00+00:00";"2008-06-23 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91514";"";"";"";"2021-10-06";"55652";""
"91519";"3199";"PLU";"COM";"2013-04-11 22:00:00+00:00";"2009-05-12 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91519";"";"";"";"2021-10-06";"64722";""
"91521";"3199";"PLU";"COM";"2019-02-20 23:00:00+00:00";"2015-06-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91521";"";"";"";"2021-10-06";"141652";""
"91525";"3199";"PLU";"COM";"2018-07-04 22:00:00+00:00";"2015-03-09 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91525";"";"";"";"2021-10-06";"115139";""
"91526";"1199";"CC";"COM";"2011-03-14 23:00:00+00:00";"2007-01-29 23:00:00+00:00";"19";"91";"11";"2021";"NON";"NON";"91526";"";"";"";"2021-10-06";"67254";""
"91533";"3199";"PLU";"COM";"2016-04-03 22:00:00+00:00";"2008-11-17 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91533";"";"";"";"2021-10-06";"64723";""
